depth	age	d18O	d13C	
192.71	8608.2	-9.87	-4.42	
192.8	8611	-9.76	-4.31	
192.89	8613.8	-9.81	-4.46	
192.98	8616.7	-9.6	-4.74	
193.07	8619.6	-9.72	-4.39	
193.16	8622.6	-9.61	-4.22	
193.24	8625.7	-9.65	-4.14	
193.33	8628.8	-9.73	-4.74	
193.42	8631.9	-9.86	-4.8	
193.51	8635.1	-9.72	-4.33	
193.6	8638.4	-10.01	-4.58	
193.69	8641.7	-10.04	-4.61	
193.78	8645.1	-10.2	-4.76	
193.87	8648.5	-10.17	-4.68	
193.96	8652	-10.21	-4.68	
194.05	8655.5	-10.14	-4.24	
194.14	8659.1	-10.09	-4.3	
194.23	8662.7	-9.78	-4.17	
194.32	8666.3	-10	-4.86	
194.41	8670	-10.08	-4.89	
194.5	8673.8	-9.98	-5.15	
194.59	8677.6	-9.99	-5.03	
194.68	8681.4	-10.03	-4.82	
194.76	8685.3	-9.89	-4.81	
194.85	8689.2	-9.88	-4.98	
194.94	8693.2	-9.76	-4.93	
195.03	8697.2	-9.99	-5.3	
195.12	8701.2	-9.81	-4.61	
195.21	8705.3	-10.07	-4.3	
195.3	8709.4	-10.05	-3.94	
195.39	8713.6	-10.05	-4	
195.48	8717.8	-10	-3.9	
195.57	8722	-9.87	-3.87	
195.66	8726.3	-9.98	-3.64	
195.75	8730.6	-9.99	-4	
195.84	8734.9	-10.12	-4.77	
195.93	8739.3	-9.88	-4.53	
196.02	8743.7	-10.02	-4.52	
196.11	8748.1	-9.89	-4.68	
196.2	8752.5	-9.99	-4.66	
196.28	8757	-10.01	-4.88	
196.37	8761.5	-10.12	-5	
196.46	8766.1	-10.15	-5.28	
196.55	8770.6	-9.98	-5.35	
196.64	8775.2	-9.95	-5.14	
196.73	8779.8	-10.26	-4.57	
196.82	8784.5	-10.3	-4.68	
196.91	8789.1	-10.16	-4.53	
197	8793.8	-10.27	-4.53	
197.09	8798.5	-10.41	-4.5	
197.18	8803.2	-10.28	-4.65	
197.27	8808	-10.2	-4.71	
197.36	8812.8	-10.05	-4.76	
197.45	8817.5	-10.17	-4.81	
197.54	8822.3	-10.01	-4.43	
197.63	8827.2	-9.98	-4.63	
197.71	8832	-9.99	-4.87	
197.8	8836.8	-10.17	-5.09	
197.89	8841.7	-9.87	-4.67	
197.98	8846.6	-10.09	-4.66	
198.07	8851.5	-10.04	-4.57	
198.16	8856.4	-10.15	-4.39	
198.25	8861.3	-10.11	-4.34	
198.34	8866.2	-10.15	-4.35	
198.43	8871.1	-10.13	-4.91	
198.52	8876.1	-10.13	-4.43	
198.61	8881	-10.11	-4.72	
198.7	8886	-10.06	-4.43	
198.79	8891	-10.09	-4.13	
199.15	8910.9	-10.19	-4.47	
